Date/Time,Temperature (F)
2026-04-06 08:38:18,74.075
2026-04-06 08:53:16,74.525
2026-04-06 09:08:13,74.75
2026-04-06 09:23:13,74.862
2026-04-06 09:38:11,74.862
2026-04-06 09:53:08,75.537
2026-04-06 10:08:05,75.425
2026-04-06 10:23:03,76.1
2026-04-06 10:38:00,75.762
2026-04-06 10:52:58,76.325
2026-04-06 11:07:56,76.887
2026-04-06 11:22:53,75.762
2026-04-06 11:37:51,77.45
2026-04-06 12:07:46,77.562
2026-04-06 12:22:44,76.775
2026-04-06 12:37:41,76.55
2026-04-06 12:52:40,77.562
2026-04-06 13:07:38,77.787
2026-04-06 13:22:36,77.9
2026-04-06 13:37:35,78.125
2026-04-06 13:52:33,76.887
2026-04-06 14:07:31,78.35
2026-04-06 14:22:29,78.575
2026-04-06 14:37:28,78.687
2026-04-06 14:52:25,79.025
2026-04-06 15:34:47,78.912
2026-04-06 15:49:46,79.362
2026-04-06 16:04:44,79.25
2026-04-06 16:13:54,79.812
2026-04-06 16:14:25,79.925
2026-04-06 16:29:22,80.375
2026-04-06 16:44:19,80.037
2026-04-06 16:59:17,80.037
2026-04-06 17:14:15,79.7
2026-04-06 17:29:13,79.475
2026-04-06 17:44:09,79.362
2026-04-06 17:59:07,79.025
2026-04-06 18:14:05,78.125
2026-04-06 18:29:02,78.125
2026-04-06 18:43:59,77.45
2026-04-06 18:58:56,77.112
2026-04-06 19:13:53,76.887
2026-04-06 19:28:50,76.55
2026-04-06 19:43:47,78.012
2026-04-06 19:58:45,78.575
2026-04-06 20:13:43,79.025
2026-04-06 20:28:40,78.912
2026-04-06 20:43:39,78.8
2026-04-06 20:58:36,78.35
2026-04-06 21:13:33,77.9
2026-04-06 21:28:30,77.787
2026-04-06 21:43:27,77.787
2026-04-06 21:58:24,77.675
2026-04-06 22:13:21,77.337
2026-04-06 22:28:18,77.225
2026-04-06 22:43:15,77.112
2026-04-06 22:58:14,76.887
2026-04-06 23:13:12,76.662
2026-04-06 23:28:09,76.437
2026-04-06 23:43:06,76.212
2026-04-06 23:58:04,75.987
2026-04-07 00:13:02,75.762
2026-04-07 00:27:59,75.65
2026-04-07 00:42:56,75.537
2026-04-07 00:57:53,75.2
2026-04-07 01:12:50,74.975
2026-04-07 01:27:48,74.75
2026-04-07 01:42:46,74.637
2026-04-07 01:57:42,74.3
2026-04-07 02:12:39,74.412
2026-04-07 02:27:37,74.187
2026-04-07 02:42:34,73.85
2026-04-07 02:57:31,73.512
2026-04-07 03:12:29,73.287
2026-04-07 03:42:23,73.062
2026-04-07 03:57:20,72.725
2026-04-07 04:12:17,72.5
2026-04-07 04:27:15,72.275
2026-04-07 04:42:12,72.387
2026-04-07 04:57:09,71.937
2026-04-07 05:12:06,71.712
2026-04-07 05:27:02,71.937
2026-04-07 05:42:02,71.825
2026-04-07 06:11:57,71.6
2026-04-07 06:26:54,71.487
2026-04-07 06:41:52,70.925
2026-04-07 06:56:50,71.262
2026-04-07 07:11:48,71.037
2026-04-07 07:41:43,72.162
2026-04-07 07:56:41,71.825
2026-04-07 08:11:38,72.387
2026-04-07 08:26:35,72.612
2026-04-07 08:41:32,73.062
2026-04-07 08:56:30,73.175
2026-04-07 09:11:28,73.625
2026-04-07 09:26:25,72.95
2026-04-07 09:41:23,73.4
2026-04-07 09:56:21,73.737
2026-04-07 10:11:19,74.412
2026-04-07 10:26:18,75.087
2026-04-07 10:41:15,74.975
2026-04-07 10:56:12,75.087
2026-04-07 11:11:09,74.75
2026-04-07 11:26:07,74.862
2026-04-07 11:41:04,75.087
2026-04-07 11:56:01,75.425
2026-04-07 12:11:00,75.65
2026-04-07 12:25:58,75.425
2026-04-07 12:40:56,74.75
2026-04-07 12:55:53,75.425
2026-04-07 13:10:50,75.65
2026-04-07 13:25:48,75.762
2026-04-07 13:40:46,75.987
2026-04-07 13:55:44,76.212
2026-04-07 14:10:41,75.65
